attempt,mine_num,floor_num,no rock,empty rock,junk ore,copper,silver,gold,mystrile,pink diamond,alexandrite,moon stone,sand rose,diamond,emerald,ruby,topaz,peridot,fluorite,agate,amethyst,spring sun,summer sun,fall sun,winter sun,mythic stone,adamantite,orichalc,blue wonderful,green wonderful,red wonderful,yellow wonderful,orange wonderful,purple wonderful,indigo wonderful,black wonderful,white wonderful,empty tile,down stairs,covered hole,money bag,black grass,tiled square,unearthed hole,staircase up,staircase down,lithograph,cursed tool,cursed accessory,bronze coin,silver coin,gold coin
0,1,1,847,3,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,22,2,29,4,0,0,1,0,0,0,0,0,0,0
1,1,1,840,11,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,20,4,24,4,0,0,1,0,0,0,0,0,0,0
2,1,1,842,10,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,21,4,24,4,0,0,1,0,0,0,0,0,0,0
3,1,1,841,9,8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,25,3,24,6,0,0,1,0,0,0,0,0,0,0
4,1,1,839,13,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,24,1,20,4,0,0,1,0,0,0,0,0,0,0
5,1,1,850,3,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,23,1,30,6,0,0,1,0,0,0,0,0,0,0
6,1,1,843,9,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,20,4,24,4,0,0,1,0,0,0,0,0,0,0
7,1,1,841,8,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,24,1,20,4,0,0,1,0,0,0,0,0,0,0
8,1,1,850,0,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,23,1,30,6,0,0,1,0,0,0,0,0,0,0
9,1,1,846,1,9,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,20,4,24,4,0,0,1,0,0,0,0,0,0,0
10,1,1,836,10,9,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,21,4,20,4,0,0,1,0,0,0,0,0,0,0
11,1,1,845,2,10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,24,1,20,4,0,0,1,0,0,0,0,0,0,0
12,1,1,838,10,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,21,4,20,4,0,0,1,0,0,0,0,0,0,0
13,1,1,836,14,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,25,3,25,5,0,0,1,0,0,0,0,0,0,0
14,1,1,836,15,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,22,4,22,5,0,0,1,0,0,0,0,0,0,0
15,1,1,836,16,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,20,3,30,5,0,0,1,0,0,0,0,0,0,0
16,1,1,842,6,9,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,21,4,20,4,0,0,1,0,0,0,0,0,0,0
17,1,1,842,5,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,25,3,30,5,0,0,1,0,0,0,0,0,0,0
18,1,1,842,6,9,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,21,2,23,5,0,0,1,0,0,0,0,0,0,0
19,1,1,848,1,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,25,4,23,5,0,0,1,0,0,0,0,0,0,0
20,1,1,844,3,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,21,2,23,5,0,0,1,0,0,0,0,0,0,0
21,1,1,847,1,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,21,4,20,4,0,0,1,0,0,0,0,0,0,0
22,1,1,847,2,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,25,3,30,5,0,0,1,0,0,0,0,0,0,0
23,1,1,842,9,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,22,2,25,5,0,0,1,0,0,0,0,0,0,0
24,1,1,843,9,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,22,2,25,5,0,0,1,0,0,0,0,0,0,0
25,1,1,840,11,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,23,4,29,6,0,0,1,0,0,0,0,0,0,0
26,1,1,847,6,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,20,3,30,5,0,0,1,0,0,0,0,0,0,0
27,1,1,845,2,10,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,20,3,25,5,0,0,1,0,0,0,0,0,0,0
28,1,1,845,5,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,24,4,23,4,0,0,1,0,0,0,0,0,0,0
29,1,1,836,13,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,23,3,23,6,0,0,1,0,0,0,0,0,0,0
30,1,1,839,11,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,20,3,26,5,0,0,1,0,0,0,0,0,0,0
31,1,1,841,10,8,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,24,4,23,5,0,0,1,0,0,0,0,0,0,0
32,1,1,841,11,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,20,3,26,5,0,0,1,0,0,0,0,0,0,0
